agreement_id,consultation_id,mechanism_type,consultation_forum,consultation_forum_other,consultation_agreement_forum,c_consultation_forum,party_consultation_referral,party_consultation_referral_third_party,c_party_consultation_referral,consultation_category,consultation_type,consultation_type_other,c_consultation_mechanism_type
050,A,0,1,N/A,N/A,"Ibid. Article XI. 1. If any dispute arises between two or more of the Contracting Parties concerning the interpretation or application of the present Treaty, those Contracting Parties shall consult among themselves with a view to having the dispute resolved by negotiation, inquiry, mediation, conciliation, arbitration, judicial settlement or other peaceful means of their own choice.",0,N/A,N/A,1,6,N/A,"Ibid. Article XI. 1. If any dispute arises between two or more of the Contracting Parties concerning the interpretation or application of the present Treaty, those Contracting Parties shall consult among themselves with a view to having the dispute resolved by negotiation, inquiry, mediation, conciliation, arbitration, judicial settlement or other peaceful means of their own choice."
050,B,0,0,N/A,Antarctic Treaty Consultative Meeting(ATCM),"Ibid. Article IX. 1 Representatives of the Contracting Parties named in the preamble to the present Treaty shall meet at the City of Canberra within two months after the date of entry into force of the Treaty, and thereafter at suitable intervals and places, for the purpose of exchanging information, consulting together on matters of common interest pertaining to Antarctica, and formulating and considering, and recommending to their Governments, measures in furtherance of the principles and objectives of the Treaty, including measures regarding. (a) use of Antarctica for peaceful purposes only. (b) facilitation of scientific research in Antarctica. (c) facilitation of international scientific cooperation in Antarctica. (d) facilitation of the exercise of the rights of inspection provided for in Article VII of the Treaty. (e) questions relating to the exercise of jurisdiction in Antarctica. (f) preservation and conservation of living resources in Antarctica.",0,N/A,N/A,0,0,N/A,"Ibid. Article IX. 1 Representatives of the Contracting Parties named in the preamble to the present Treaty shall meet at the City of Canberra within two months after the date of entry into force of the Treaty, and thereafter at suitable intervals and places, for the purpose of exchanging information, consulting together on matters of common interest pertaining to Antarctica, and formulating and considering, and recommending to their Governments, measures in furtherance of the principles and objectives of the Treaty, including measures regarding. (a) use of Antarctica for peaceful purposes only. (b) facilitation of scientific research in Antarctica. (c) facilitation of international scientific cooperation in Antarctica. (d) facilitation of the exercise of the rights of inspection provided for in Article VII of the Treaty. (e) questions relating to the exercise of jurisdiction in Antarctica. (f) preservation and conservation of living resources in Antarctica."
050,C,0,0,N/A,Special Antarctic Treaty Consultative Meeting(ATCM),"Secretariat of the Antarctic Treaty. Accessed. 22082023. https.//www.ats.aq/devAS/Meetings?lang=e. the Antarctic Treaty also has Special Antarctic Treaty Consultative Meetings, which are usually called together to treat particular topics",0,N/A,N/A,0,5,N/A,"Secretariat of the Antarctic Treaty. Accessed. 22082023. https.//www.ats.aq/devAS/Meetings?lang=e. the Antarctic Treaty also has Special Antarctic Treaty Consultative Meetings, which are usually called together to treat particular topics"
070,A,0,0,N/A,General Conference,"Ibid. Article 12(a). The General Conference, the supreme organ of the Agency, shall be composed of all the Contracting Parties. it shall hold regular sessions every two years, and may also hold special sessions whenever this Treaty so provides or, in the opinion of the Council, the circumstances so require. 2. The General Conference. (a) May consider and decide on any matters or questions covered by this Treaty, within the limits thereof, including those referring to powers and functions of any organ provided for in this Treaty.",0,N/A,N/A,0,0,N/A,"Ibid. Article 12(a). The General Conference, the supreme organ of the Agency, shall be composed of all the Contracting Parties. it shall hold regular sessions every two years, and may also hold special sessions whenever this Treaty so provides or, in the opinion of the Council, the circumstances so require. 2. The General Conference. (a) May consider and decide on any matters or questions covered by this Treaty, within the limits thereof, including those referring to powers and functions of any organ provided for in this Treaty."
070,B,0,0,N/A,Special session of the General Conference,"Ibid. Article 16.7. The Council may decide, or any Contracting Party may request, the convening of a special session of the General Conference for the purpose of considering the reports resulting from any special inspection. In such a case, the General Secretary shall take immediate steps to convene the special session requested.",0,N/A,N/A,1,8,N/A,"Ibid. Article 16.7. The Council may decide, or any Contracting Party may request, the convening of a special session of the General Conference for the purpose of considering the reports resulting from any special inspection. In such a case, the General Secretary shall take immediate steps to convene the special session requested."
070,C,0,0,N/A,Meeting of Signatory States,"Ibid. Article 6. At the request of any of the signatory States or if the Agency established by article 7 should so decide, a meeting of all the signatories may be convoked to consider in common questions which may affect the very essence of this instrument, including possible amendments to it. In either case, the meeting will be convoked by the General Secretary. ",0,N/A,N/A,0,2,N/A,"Ibid. Article 6. At the request of any of the signatory States or if the Agency established by article 7 should so decide, a meeting of all the signatories may be convoked to consider in common questions which may affect the very essence of this instrument, including possible amendments to it. In either case, the meeting will be convoked by the General Secretary. "
070,D,0,0,N/A,Special Session of the General Conference,"Ibid. Article 29.1. Any Contracting Party may propose amendments to this Treaty and shall submit its proposals to the Council through the General Secretary, who shall transmit them to all the other Contracting Parties and, in addition, to all other signatories in accordance with article 6. The Council, through the General Secretary, shall immediately following the meeting of signatories convene a special session of the General Conference to examine the proposals made, for the adoption of which a twothirds majority of the Contracting Parties present and voting shall be required.",0,N/A,N/A,0,2,N/A,"Ibid. Article 29.1. Any Contracting Party may propose amendments to this Treaty and shall submit its proposals to the Council through the General Secretary, who shall transmit them to all the other Contracting Parties and, in addition, to all other signatories in accordance with article 6. The Council, through the General Secretary, shall immediately following the meeting of signatories convene a special session of the General Conference to examine the proposals made, for the adoption of which a twothirds majority of the Contracting Parties present and voting shall be required."
080,A,0,1,N/A,N/A,"Ibid. Treaty. Article IX. If a State Party to the Treaty has reason to believe that an activity or experiment planned by it or its nationals in outer space, including the Moon and other celestial bodies, would cause potentially harmful interference with activities of other States Parties in the peaceful exploration and use of outer space, including the Moon and other celestial bodies, it shall undertake appropriate international consultations before proceeding with any such activity or experiment. A State Party to the Treaty which has reason to believe that an activity or experiment planned by another State Party in outer space, including the Moon and other celestial bodies, would cause potentially harmful interference with activities in the peaceful exploration and use of outer space, including the Moon and other celestial bodies, may request consultation concerning the activity or experiment. ",0,N/A,N/A,1,8,N/A,"Ibid. Treaty. Article IX. If a State Party to the Treaty has reason to believe that an activity or experiment planned by it or its nationals in outer space, including the Moon and other celestial bodies, would cause potentially harmful interference with activities of other States Parties in the peaceful exploration and use of outer space, including the Moon and other celestial bodies, it shall undertake appropriate international consultations before proceeding with any such activity or experiment. A State Party to the Treaty which has reason to believe that an activity or experiment planned by another State Party in outer space, including the Moon and other celestial bodies, would cause potentially harmful interference with activities in the peaceful exploration and use of outer space, including the Moon and other celestial bodies, may request consultation concerning the activity or experiment. "
090,A,0,0,N/A,Extention Conference,"Ibid. Article X.2. Twentyfive years after the entry into force of the Treaty, a conference shall be convened to decide whether the Treaty shall continue in force indefinitely, or shall be extended for an additional fixed period or periods. This decision shall be taken by a majority of the Parties to the Treaty.",0,N/A,N/A,0,9,Extention consultation,"Each Party to the Treaty undertakes to take appropriate measures to ensure that, in accordance with this Treaty, under appropriate international observation and through appropriate international procedures, potential benefits from any peaceful applications of nuclear explosions will be made available to nonnuclearweapon States Party to the Treaty on a nondiscriminatory basis and that the charge to such Parties for the explosive devices used will be as low as possible and exclude any charge for research and development. Nonnuclearweapon States Party to the Treaty shall be able to obtain such benefits, pursuant to a special international agreement or agreements, through an appropriate international body with adequate representation of nonnuclearweapon States.United Nations. Treaty on the NonProliferation of Nuclear Weapons (1968). Article 5 https.//treaties.unoda.org/t/npt."
090,B,0,0,N/A,Review Conference,"Ibid. Article VIII.3. Five years after the entry into force of this Treaty, a conference of Parties to the Treaty shall be held in Geneva, Switzerland, in order to review the operation of this Treaty with a view to assuring that the purposes of the Preamble and the provisions of the Treaty are being realised. At intervals of five years thereafter, a majority of the Parties to the Treaty may obtain, by submitting a proposal to this effect to the Depositary Governments, the convening of further conferences with the same objective of reviewing the operation of the Treaty.",0,N/A,N/A,0,1,N/A,"Ibid. Article VIII.3. Five years after the entry into force of this Treaty, a conference of Parties to the Treaty shall be held in Geneva, Switzerland, in order to review the operation of this Treaty with a view to assuring that the purposes of the Preamble and the provisions of the Treaty are being realised. At intervals of five years thereafter, a majority of the Parties to the Treaty may obtain, by submitting a proposal to this effect to the Depositary Governments, the convening of further conferences with the same objective of reviewing the operation of the Treaty."
090,C,0,0,N/A,Amendment Conference,"Ibid. Article VIII.1. Any Party to the Treaty may propose amendments to this Treaty. The text of any proposed amendment shall be submitted to the Depositary Governments which shall circulate it to all Parties to the Treaty. Thereupon, if requested to do so by onethird or more of the Parties to the Treaty, the Depositary Governments shall convene a conference, to which they shall invite all the Parties to the Treaty, to consider such an amendment. ",0,N/A,N/A,0,2,N/A,"Ibid. Article VIII.1. Any Party to the Treaty may propose amendments to this Treaty. The text of any proposed amendment shall be submitted to the Depositary Governments which shall circulate it to all Parties to the Treaty. Thereupon, if requested to do so by onethird or more of the Parties to the Treaty, the Depositary Governments shall convene a conference, to which they shall invite all the Parties to the Treaty, to consider such an amendment. "
100,A,0,1,N/A,N/A,"Ibid. Article 7. The Parties undertake to hold consultations, as mutually agreed, to consider questions relating to implementation of the provisions of this Agreement, as well as to discuss possible amendments thereto aimed at further implementation of the purposes of this Agreement.",0,N/A,N/A,0,0,N/A,"Ibid. Article 7. The Parties undertake to hold consultations, as mutually agreed, to consider questions relating to implementation of the provisions of this Agreement, as well as to discuss possible amendments thereto aimed at further implementation of the purposes of this Agreement."
100,B,0,1,N/A,N/A,"Ibid. Article 7. The Parties undertake to hold consultations, as mutually agreed, to consider questions relating to implementation of the provisions of this Agreement, as well as to discuss possible amendments thereto aimed at further implementation of the purposes of this Agreement.",0,N/A,N/A,0,2,N/A,"Ibid. Article 7. The Parties undertake to hold consultations, as mutually agreed, to consider questions relating to implementation of the provisions of this Agreement, as well as to discuss possible amendments thereto aimed at further implementation of the purposes of this Agreement."
110,A,0,1,N/A,N/A,"Ibid. Treaty. Article III, 2 [...] the State Party having such doubts and the State Party that is responsible for the activities giving rise to the doubts shall consult with a view to removing the doubts.",0,N/A,N/A,0,8,N/A,"Ibid. Treaty. Article III, 2 [...] the State Party having such doubts and the State Party that is responsible for the activities giving rise to the doubts shall consult with a view to removing the doubts."
110,B,0,0,N/A,The Conference of Parties,"ibid. Treaty. Article VII. Five years after the entry into force of this Treaty, a conference of Parties to the Treaty shall be held at Geneva, Switzerland, in order to review the operation of this Treaty with a view to assuring that the purposes of the preamble and the provisions of the Treaty are being realized. Such review shall take into account any relevant technological developments. The review conference shall determine, in accordance with the views of a majority of those Parties attending, whether and when an additional review conference shall be convened.",0,N/A,N/A,0,1,N/A,"ibid. Treaty. Article VII. Five years after the entry into force of this Treaty, a conference of Parties to the Treaty shall be held at Geneva, Switzerland, in order to review the operation of this Treaty with a view to assuring that the purposes of the preamble and the provisions of the Treaty are being realized. Such review shall take into account any relevant technological developments. The review conference shall determine, in accordance with the views of a majority of those Parties attending, whether and when an additional review conference shall be convened."
110,C,0,0,N/A,The Conference of Parties,"ibid. Treaty. Article VII. Five years after the entry into force of this Treaty, a conference of Parties to the Treaty shall be held at Geneva, Switzerland, in order to review the operation of this Treaty with a view to assuring that the purposes of the preamble and the provisions of the Treaty are being realized. Such review shall take into account any relevant technological developments. The review conference shall determine, in accordance with the views of a majority of those Parties attending, whether and when an additional review conference shall be convened.",0,N/A,N/A,0,4,N/A,"ibid. Treaty. Article VII. Five years after the entry into force of this Treaty, a conference of Parties to the Treaty shall be held at Geneva, Switzerland, in order to review the operation of this Treaty with a view to assuring that the purposes of the preamble and the provisions of the Treaty are being realized. Such review shall take into account any relevant technological developments. The review conference shall determine, in accordance with the views of a majority of those Parties attending, whether and when an additional review conference shall be convened."
120,A,0,1,N/A,N/A,"Ibid. Article IX. The Parties shall meet within one year after the date of the signing of this Agreement to review the implementation of its terms. Similar consultations shall be held thereafter annually, or more frequently as the Parties may decide.",0,N/A,N/A,0,1,N/A,"Ibid. Article IX. The Parties shall meet within one year after the date of the signing of this Agreement to review the implementation of its terms. Similar consultations shall be held thereafter annually, or more frequently as the Parties may decide."
130,A,0,0,N/A,Conference of States Parties,"Ibid. Article XII. Five years after the entry into force of this Convention, or earlier if it is requested by a majority of Parties to the Convention by submitting a proposal to this effect to the Depositary Governments, a conference of States Parties to the Convention shall be held at Geneva, Switzerland, to review the operation of the Convention, with a view to assuring that the purposes of the preamble and the provisions of the Convention, including the provisions concerning negotiations on chemical weapons, are being realised. Such review shall take into account any new scientific and technological developments relevant to the Convention.",0,N/A,N/A,0,1,N/A,Ibid. Article XII.
130,B,0,0,N/A,Conference of States Parties,"Ibid. Article XII. Five years after the entry into force of this Convention, or earlier if it is requested by a majority of Parties to the Convention by submitting a proposal to this effect to the Depositary Governments, a conference of States Parties to the Convention shall be held at Geneva, Switzerland, to review the operation of the Convention, with a view to assuring that the purposes of the preamble and the provisions of the Convention, including the provisions concerning negotiations on chemical weapons, are being realised. Such review shall take into account any new scientific and technological developments relevant to the Convention.",0,N/A,N/A,0,4,N/A,"Ibid. Article XII. Five years after the entry into force of this Convention, or earlier if it is requested by a majority of Parties to the Convention by submitting a proposal to this effect to the Depositary Governments, a conference of States Parties to the Convention shall be held at Geneva, Switzerland, to review the operation of the Convention, with a view to assuring that the purposes of the preamble and the provisions of the Convention, including the provisions concerning negotiations on chemical weapons, are being realised. Such review shall take into account any new scientific and technological developments relevant to the Convention."
1401,A,0,0,N/A,Standing Consutative Commission,"Ibid. Article VI. To promote the objectives and implementation of the provisions of this Interim Agreement, the Parties shall use the Standing Consultative Commission established under Article XIII of theTreaty on the Limitation of AntiBallistic Missile Systems in accordance with the provisions of that Article. ABM article XIII. To promote the objectives and implementation of the provisions of this Treaty, the Parties shall establish promptly a Standing Consultative Commission, within the framework of which they will.(a) consider questions concerning compliance with the obligations assumed and related situations which may be considered ambiguous.(b) provide on a voluntary basis such information as either Party considers necessary to assure confidence in compliance with the obligations assumed.(c) consider questions involving unintended interference with national technical means of verification.(d) consider possible changes in the strategic situation which have a bearing on the provisions of this Treaty.(e) agree upon procedures and dates for destruction or dismantling of ABM systems or their components in cases provided for by the provisions of this Treaty.(f) consider, as appropriate, possible proposals for further increasing the viability of this Treaty. including proposals for amendments in accordance with the provisions of this Treaty.(g) consider, as appropriate, proposals for further measures aimed at limiting strategic arms.",0,N/A,N/A,0,0,N/A,"Ibid. Article VI. To promote the objectives and implementation of the provisions of this Interim Agreement, the Parties shall use the Standing Consultative Commission established under Article XIII of theTreaty on the Limitation of AntiBallistic Missile Systems in accordance with the provisions of that Article. ABM article XIII. To promote the objectives and implementation of the provisions of this Treaty, the Parties shall establish promptly a Standing Consultative Commission, within the framework of which they will.(a) consider questions concerning compliance with the obligations assumed and related situations which may be considered ambiguous.(b) provide on a voluntary basis such information as either Party considers necessary to assure confidence in compliance with the obligations assumed.(c) consider questions involving unintended interference with national technical means of verification.(d) consider possible changes in the strategic situation which have a bearing on the provisions of this Treaty.(e) agree upon procedures and dates for destruction or dismantling of ABM systems or their components in cases provided for by the provisions of this Treaty.(f) consider, as appropriate, possible proposals for further increasing the viability of this Treaty. including proposals for amendments in accordance with the provisions of this Treaty.(g) consider, as appropriate, proposals for further measures aimed at limiting strategic arms."
1402,A,0,0,N/A,"Standing Consutative Commission, SALT Negotiations Sessions","Ibid. Article XIII.1. To promote the objectives and implementation of the provisions of this Treaty, the Parties shall establish promptly a Standing Consultative Commission, within the framework of which they will.(a) consider questions concerning compliance with the obligations assumed and related situations which may be considered ambiguous.(b) provide on a voluntary basis such information as either Party considers necessary to assure confidence in compliance with the obligations assumed.(c) consider questions involving unintended interference with national technical means of verification.(d) consider possible changes in the strategic situation which have a bearing on the provisions of this Treaty.(e) agree upon procedures and dates for destruction or dismantling of ABM systems or their components in cases provided for by the provisions of this Treaty.(f) consider, as appropriate, possible proposals for further increasing the viability of this Treaty. including proposals for amendments in accordance with the provisions of this Treaty.(g) consider, as appropriate, proposals for further measures aimed at limiting strategic arms.",0,N/A,N/A,0,0,N/A,"Ibid. Article XIII.1. To promote the objectives and implementation of the provisions of this Treaty, the Parties shall establish promptly a Standing Consultative Commission, within the framework of which they will.(a) consider questions concerning compliance with the obligations assumed and related situations which may be considered ambiguous.(b) provide on a voluntary basis such information as either Party considers necessary to assure confidence in compliance with the obligations assumed.(c) consider questions involving unintended interference with national technical means of verification.(d) consider possible changes in the strategic situation which have a bearing on the provisions of this Treaty.(e) agree upon procedures and dates for destruction or dismantling of ABM systems or their components in cases provided for by the provisions of this Treaty.(f) consider, as appropriate, possible proposals for further increasing the viability of this Treaty. including proposals for amendments in accordance with the provisions of this Treaty.(g) consider, as appropriate, proposals for further measures aimed at limiting strategic arms."
1402,B,0,1,N/A,N/A,"Ibid. Article XIV.2. Five years after entry into force of this Treaty, and at fiveyear intervals thereafter, the Parties shall together conduct a review of this Treaty.",0,N/A,N/A,0,1,N/A,"Ibid. Article XIV.2. Five years after entry into force of this Treaty, and at fiveyear intervals thereafter, the Parties shall together conduct a review of this Treaty."
140204,A,0,0,N/A,Standing Consutative Commission,"ibid. Article II.7. The term tested in an ABM mode shall not be applied to a radar, including a phasedarray radar, which is not an ABM radar or a radar referred to in paragraphs 5 and 6 of this Section, if strategic ballistic missiles or their elements passed through the field of view of the radar while it was operating in accordance with its mission, and it was not, at that time, performing functions inherent only to an ABM radar, and it was not functioning in conjunction with an ABM radar. In the event that ambiguities arise in the future regarding application of the term tested in an ABM mode to individual radars which track strategic ballistic missiles or their elements in flight trajectory, the Parties, in accordance with Article XIII of the ABM Treaty, will consider such questions in the Standing Consultative Commission and resolve them on a mutually acceptable basis.",0,N/A,N/A,1,7,N/A,"ibid. Article II.7. The term tested in an ABM mode shall not be applied to a radar, including a phasedarray radar, which is not an ABM radar or a radar referred to in paragraphs 5 and 6 of this Section, if strategic ballistic missiles or their elements passed through the field of view of the radar while it was operating in accordance with its mission, and it was not, at that time, performing functions inherent only to an ABM radar, and it was not functioning in conjunction with an ABM radar. In the event that ambiguities arise in the future regarding application of the term tested in an ABM mode to individual radars which track strategic ballistic missiles or their elements in flight trajectory, the Parties, in accordance with Article XIII of the ABM Treaty, will consider such questions in the Standing Consultative Commission and resolve them on a mutually acceptable basis."
